oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przestępstwa stwierdzone przez Policję w zakończonych postępowaniach przygotowawczych|ogółem
105,012414874000,Siemianowice Śląskie,25.0,2020,2474,miasto na prawach powiatu,24,śląskie,1840.0
106,012414876000,Świętochłowice,13.0,2020,2476,miasto na prawach powiatu,24,śląskie,1262.0
110,012414967000,Jastrzębie-Zdrój,85.0,2020,2467,miasto na prawach powiatu,24,śląskie,1890.0
111,012414973000,Rybnik,148.0,2020,2473,miasto na prawach powiatu,24,śląskie,2708.0
316,061813361000,Krosno,44.0,2020,1861,miasto na prawach powiatu,18,podkarpackie,8448.0
112,012414979000,Żory,65.0,2020,2479,miasto na prawach powiatu,24,śląskie,1199.0
116,012415075000,Sosnowiec,91.0,2020,2475,miasto na prawach powiatu,24,śląskie,5812.0
117,012415108000,mikołowski,233.0,2020,2408,powiat,24,śląskie,3396.0
59,012415177000,Tychy,82.0,2020,2477,miasto na prawach powiatu,24,śląskie,2372.0
175,023216663000,Świnoujście,202.0,2020,3263,miasto na prawach powiatu,32,zachodniopomorskie,813.0
333,061813664000,Tarnobrzeg,85.0,2020,1864,miasto na prawach powiatu,18,podkarpackie,982.0
42,030210422000,wołowski,675.0,2020,0222,powiat,02,dolnośląskie,681.0
44,030210564000,Wrocław,293.0,2020,0264,miasto na prawach powiatu,02,dolnośląskie,18243.0
45,040410661000,Bydgoszcz,176.0,2020,0461,miasto na prawach powiatu,04,kujawsko-pomorskie,7306.0
213,040410663000,Toruń,116.0,2020,0463,miasto na prawach powiatu,04,kujawsko-pomorskie,4718.0
46,040410704000,chełmiński,527.0,2020,0404,powiat,04,kujawsko-pomorskie,673.0
374,071427062000,Płock,88.0,2020,1462,miasto na prawach powiatu,14,mazowieckie,2324.0
72,011212001000,bocheński,649.0,2020,1201,powiat,12,małopolskie,2036.0
74,011212008000,miechowski,676.0,2020,1208,powiat,12,małopolskie,843.0
75,011212009000,myślenicki,673.0,2020,1209,powiat,12,małopolskie,1341.0
76,011212014000,proszowicki,415.0,2020,1214,powiat,12,małopolskie,313.0
77,011212019000,wielicki,411.0,2020,1219,powiat,12,małopolskie,2069.0
78,011212161000,Kraków,327.0,2020,1261,miasto na prawach powiatu,12,małopolskie,17617.0
79,011212205000,gorlicki,966.0,2020,1205,powiat,12,małopolskie,2680.0
80,011212207000,limanowski,951.0,2020,1207,powiat,12,małopolskie,1471.0
81,011212262000,Nowy Sącz,58.0,2020,1262,miasto na prawach powiatu,12,małopolskie,2495.0
82,011212312000,olkuski,618.0,2020,1212,powiat,12,małopolskie,1792.0
83,011212313000,oświęcimski,406.0,2020,1213,powiat,12,małopolskie,2806.0
84,011212318000,wadowicki,646.0,2020,1218,powiat,12,małopolskie,1785.0
85,011212402000,brzeski,591.0,2020,1202,powiat,12,małopolskie,2430.0
86,011212404000,dąbrowski,530.0,2020,1204,powiat,12,małopolskie,792.0
67,040410801000,aleksandrowski,475.0,2020,0401,powiat,04,kujawsko-pomorskie,1510.0
88,011216915000,suski,686.0,2020,1215,powiat,12,małopolskie,957.0
89,011216917000,tatrzański,472.0,2020,1217,powiat,12,małopolskie,1582.0
47,042214010000,nowodworski,674.0,2020,2210,powiat,22,pomorskie,680.0
90,012414402000,bielski,459.0,2020,2402,powiat,24,śląskie,2746.0
91,012414403000,cieszyński,730.0,2020,2403,powiat,24,śląskie,3014.0
92,012414417000,żywiecki,1040.0,2020,2417,powiat,24,śląskie,1857.0
93,012414461000,Bielsko-Biała,125.0,2020,2461,miasto na prawach powiatu,24,śląskie,4600.0
94,012414507000,lubliniecki,822.0,2020,2407,powiat,24,śląskie,1095.0
95,012414513000,tarnogórski,644.0,2020,2413,powiat,24,śląskie,2265.0
96,012414562000,Bytom,69.0,2020,2462,miasto na prawach powiatu,24,śląskie,4517.0
98,012414606000,kłobucki,889.0,2020,2406,powiat,24,śląskie,804.0
99,012414609000,myszkowski,479.0,2020,2409,powiat,24,śląskie,1405.0
100,012414664000,Częstochowa,160.0,2020,2464,miasto na prawach powiatu,24,śląskie,5246.0
101,012414705000,gliwicki,664.0,2020,2405,powiat,24,śląskie,2038.0
107,012414911000,raciborski,544.0,2020,2411,powiat,24,śląskie,2157.0
108,012414912000,rybnicki,224.0,2020,2412,powiat,24,śląskie,977.0
109,012414915000,wodzisławski,287.0,2020,2415,powiat,24,śląskie,2151.0
113,012415001000,będziński,364.0,2020,2401,powiat,24,śląskie,6011.0
114,012415016000,zawierciański,1003.0,2020,2416,powiat,24,śląskie,2053.0
115,012415065000,Dąbrowa Górnicza,189.0,2020,2465,miasto na prawach powiatu,24,śląskie,4534.0
3,012415068000,Jaworzno,153.0,2020,2468,miasto na prawach powiatu,24,śląskie,1617.0
118,012415110000,pszczyński,471.0,2020,2410,powiat,24,śląskie,1451.0
63,012415114000,bieruńsko-lędziński,158.0,2020,2414,powiat,24,śląskie,821.0
119,020811303000,międzyrzecki,1388.0,2020,0803,powiat,08,lubuskie,1087.0
120,020811305000,słubicki,999.0,2020,0805,powiat,08,lubuskie,1404.0
121,020811306000,strzelecko-drezdenecki,1248.0,2020,0806,powiat,08,lubuskie,1024.0
122,020811307000,sulęciński,1178.0,2020,0807,powiat,08,lubuskie,1041.0
124,020811402000,krośnieński,1391.0,2020,0802,powiat,08,lubuskie,1477.0
125,020811404000,nowosolski,771.0,2020,0804,powiat,08,lubuskie,2283.0
126,020811408000,świebodziński,937.0,2020,0808,powiat,08,lubuskie,1027.0
9,020811409000,zielonogórski,1350.0,2020,0809,powiat,08,lubuskie,1490.0
127,020811410000,żagański,1132.0,2020,0810,powiat,08,lubuskie,2079.0
128,020811411000,żarski,1393.0,2020,0811,powiat,08,lubuskie,2227.0
129,020811412000,wschowski,624.0,2020,0812,powiat,08,lubuskie,838.0
10,020811462000,Zielona Góra,277.0,2020,0862,miasto na prawach powiatu,08,lubuskie,4213.0
130,023015706000,jarociński,587.0,2020,3006,powiat,30,wielkopolskie,834.0
131,023015707000,kaliski,1160.0,2020,3007,powiat,30,wielkopolskie,626.0
132,023015708000,kępiński,608.0,2020,3008,powiat,30,wielkopolskie,881.0
48,042214361000,Gdańsk,262.0,2020,2261,miasto na prawach powiatu,22,pomorskie,11834.0
133,023015712000,krotoszyński,714.0,2020,3012,powiat,30,wielkopolskie,1137.0
240,042214362000,Gdynia,135.0,2020,2262,miasto na prawach powiatu,22,pomorskie,5009.0
134,023015717000,ostrowski,1160.0,2020,3017,powiat,30,wielkopolskie,2472.0
135,023015718000,ostrzeszowski,773.0,2020,3018,powiat,30,wielkopolskie,696.0
49,042214364000,Sopot,17.0,2020,2264,miasto na prawach powiatu,22,pomorskie,1637.0
41,042217202000,chojnicki,1364.0,2020,2202,powiat,22,pomorskie,1708.0
136,023015720000,pleszewski,713.0,2020,3020,powiat,30,wielkopolskie,757.0
70,023015761000,Kalisz,69.0,2020,3061,miasto na prawach powiatu,30,wielkopolskie,2312.0
137,023015803000,gnieźnieński,1255.0,2020,3003,powiat,30,wielkopolskie,2078.0
138,023015809000,kolski,1011.0,2020,3009,powiat,30,wielkopolskie,1455.0
139,023015823000,słupecki,838.0,2020,3023,powiat,30,wielkopolskie,1022.0
140,023015827000,turecki,929.0,2020,3027,powiat,30,wielkopolskie,2028.0
141,023015830000,wrzesiński,704.0,2020,3030,powiat,30,wielkopolskie,851.0
142,023015862000,Konin,82.0,2020,3062,miasto na prawach powiatu,30,wielkopolskie,1539.0
143,023015904000,gostyński,810.0,2020,3004,powiat,30,wielkopolskie,941.0
144,023015905000,grodziski,642.0,2020,3005,powiat,30,wielkopolskie,795.0
145,023015911000,kościański,722.0,2020,3011,powiat,30,wielkopolskie,908.0
146,023015913000,leszczyński,806.0,2020,3013,powiat,30,wielkopolskie,500.0
147,023015914000,międzychodzki,736.0,2020,3014,powiat,30,wielkopolskie,565.0
148,023015915000,nowotomyski,1014.0,2020,3015,powiat,30,wielkopolskie,1025.0
149,023015922000,rawicki,554.0,2020,3022,powiat,30,wielkopolskie,1404.0
50,042815518000,gołdapski,772.0,2020,2818,powiat,28,warmińsko-mazurskie,322.0
150,023015929000,wolsztyński,680.0,2020,3029,powiat,30,wielkopolskie,686.0
152,023016001000,chodzieski,685.0,2020,3001,powiat,30,wielkopolskie,1002.0
4,023016002000,czarnkowsko-trzcianecki,1806.0,2020,3002,powiat,30,wielkopolskie,1139.0
51,042815519000,węgorzewski,693.0,2020,2819,powiat,28,warmińsko-mazurskie,387.0
154,023016028000,wągrowiecki,1040.0,2020,3028,powiat,30,wielkopolskie,941.0
155,023016031000,złotowski,1660.0,2020,3031,powiat,30,wielkopolskie,966.0
156,023016116000,obornicki,711.0,2020,3016,powiat,30,wielkopolskie,1004.0
260,042815662000,Olsztyn,88.0,2020,2862,miasto na prawach powiatu,28,warmińsko-mazurskie,3898.0
157,023016124000,szamotulski,1119.0,2020,3024,powiat,30,wielkopolskie,1310.0
158,023016125000,średzki,624.0,2020,3025,powiat,30,wielkopolskie,1702.0
159,023016126000,śremski,574.0,2020,3026,powiat,30,wielkopolskie,815.0
65,023016264000,Poznań,262.0,2020,3064,miasto na prawach powiatu,30,wielkopolskie,13748.0
160,023216301000,białogardzki,845.0,2020,3201,powiat,32,zachodniopomorskie,666.0
161,023216308000,kołobrzeski,725.0,2020,3208,powiat,32,zachodniopomorskie,1312.0
162,023216313000,sławieński,1043.0,2020,3213,powiat,32,zachodniopomorskie,915.0
163,023216361000,Koszalin,98.0,2020,3261,miasto na prawach powiatu,32,zachodniopomorskie,1885.0
164,023216402000,choszczeński,1328.0,2020,3202,powiat,32,zachodniopomorskie,1990.0
165,023216412000,pyrzycki,726.0,2020,3212,powiat,32,zachodniopomorskie,666.0
166,023216415000,szczecinecki,1766.0,2020,3215,powiat,32,zachodniopomorskie,975.0
167,023216416000,świdwiński,1093.0,2020,3216,powiat,32,zachodniopomorskie,821.0
168,023216418000,łobeski,1065.0,2020,3218,powiat,32,zachodniopomorskie,851.0
169,023216562000,Szczecin,301.0,2020,3262,miasto na prawach powiatu,32,zachodniopomorskie,10499.0
170,023216604000,goleniowski,1616.0,2020,3204,powiat,32,zachodniopomorskie,2009.0
171,023216605000,gryficki,1021.0,2020,3205,powiat,32,zachodniopomorskie,1238.0
172,023216606000,gryfiński,1870.0,2020,3206,powiat,32,zachodniopomorskie,1654.0
173,023216607000,kamieński,1007.0,2020,3207,powiat,32,zachodniopomorskie,1064.0
174,023216611000,policki,665.0,2020,3211,powiat,32,zachodniopomorskie,1000.0
6,023216614000,stargardzki,1520.0,2020,3214,powiat,32,zachodniopomorskie,2542.0
176,030210101000,bolesławiecki,1304.0,2020,0201,powiat,02,dolnośląskie,2589.0
177,030210105000,jaworski,582.0,2020,0205,powiat,02,dolnośląskie,1195.0
178,030210106000,jeleniogórski,627.0,2020,0206,powiat,02,dolnośląskie,1585.0
179,030210107000,kamiennogórski,396.0,2020,0207,powiat,02,dolnośląskie,914.0
180,030210110000,lubański,428.0,2020,0210,powiat,02,dolnośląskie,1281.0
53,051011819000,zduńskowolski,369.0,2020,1019,powiat,10,łódzkie,1298.0
181,030210112000,lwówecki,710.0,2020,0212,powiat,02,dolnośląskie,1366.0
182,030210125000,zgorzelecki,839.0,2020,0225,powiat,02,dolnośląskie,3464.0
183,030210126000,złotoryjski,576.0,2020,0226,powiat,02,dolnośląskie,1198.0
184,030210161000,Jelenia Góra,109.0,2020,0261,miasto na prawach powiatu,02,dolnośląskie,3384.0
185,030210203000,głogowski,443.0,2020,0203,powiat,02,dolnośląskie,2481.0
186,030210204000,górowski,738.0,2020,0204,powiat,02,dolnośląskie,1138.0
187,030210209000,legnicki,744.0,2020,0209,powiat,02,dolnośląskie,1357.0
188,030210211000,lubiński,712.0,2020,0211,powiat,02,dolnośląskie,3097.0
189,030210216000,polkowicki,779.0,2020,0216,powiat,02,dolnośląskie,1877.0
190,030210262000,Legnica,56.0,2020,0262,miasto na prawach powiatu,02,dolnośląskie,4438.0
191,030210308000,kłodzki,1642.0,2020,0208,powiat,02,dolnośląskie,3249.0
192,030210319000,świdnicki,741.0,2020,0219,powiat,02,dolnośląskie,3348.0
193,030210321000,wałbrzyski,430.0,2020,0221,powiat,02,dolnośląskie,1334.0
194,030210365000,Wałbrzych,85.0,2020,0265,miasto na prawach powiatu,02,dolnośląskie,4148.0
195,030210413000,milicki,715.0,2020,0213,powiat,02,dolnośląskie,475.0
196,030210414000,oleśnicki,1049.0,2020,0214,powiat,02,dolnośląskie,1530.0
197,030210415000,oławski,524.0,2020,0215,powiat,02,dolnośląskie,1754.0
198,030210417000,strzeliński,622.0,2020,0217,powiat,02,dolnośląskie,816.0
199,030210418000,średzki,704.0,2020,0218,powiat,02,dolnośląskie,1103.0
200,030210420000,trzebnicki,1025.0,2020,0220,powiat,02,dolnośląskie,1379.0
43,030210423000,wrocławski,1118.0,2020,0223,powiat,02,dolnośląskie,2622.0
201,031613101000,brzeski,876.0,2020,1601,powiat,16,opolskie,1528.0
202,031613102000,głubczycki,673.0,2020,1602,powiat,16,opolskie,575.0
203,031613106000,namysłowski,748.0,2020,1606,powiat,16,opolskie,591.0
204,031613107000,nyski,1224.0,2020,1607,powiat,16,opolskie,2647.0
205,031613110000,prudnicki,572.0,2020,1610,powiat,16,opolskie,808.0
206,031613203000,kędzierzyńsko-kozielski,625.0,2020,1603,powiat,16,opolskie,1205.0
207,031613204000,kluczborski,852.0,2020,1604,powiat,16,opolskie,974.0
208,031613205000,krapkowicki,442.0,2020,1605,powiat,16,opolskie,753.0
55,052615210000,skarżyski,395.0,2020,2610,powiat,26,świętokrzyskie,1393.0
209,031613208000,oleski,973.0,2020,1608,powiat,16,opolskie,1835.0
31,060611020000,zamojski,1870.0,2020,0620,powiat,06,lubelskie,1075.0
298,060611062000,Chełm,35.0,2020,0662,miasto na prawach powiatu,06,lubelskie,1243.0
211,031613211000,strzelecki,744.0,2020,1611,powiat,16,opolskie,913.0
212,031613261000,Opole,149.0,2020,1661,miasto na prawach powiatu,16,opolskie,2529.0
8,040410615000,toruński,1230.0,2020,0415,powiat,04,kujawsko-pomorskie,1549.0
214,040410702000,brodnicki,1040.0,2020,0402,powiat,04,kujawsko-pomorskie,1407.0
215,040410705000,golubsko-dobrzyński,613.0,2020,0405,powiat,04,kujawsko-pomorskie,715.0
57,062013761000,Białystok,102.0,2020,2061,miasto na prawach powiatu,20,podlaskie,5919.0
216,040410706000,grudziądzki,728.0,2020,0406,powiat,04,kujawsko-pomorskie,326.0
58,062013963000,Suwałki,66.0,2020,2063,miasto na prawach powiatu,20,podlaskie,1532.0
217,040410712000,rypiński,586.0,2020,0412,powiat,04,kujawsko-pomorskie,653.0
218,040410717000,wąbrzeski,502.0,2020,0417,powiat,04,kujawsko-pomorskie,351.0
66,040410762000,Grudziądz,58.0,2020,0462,miasto na prawach powiatu,04,kujawsko-pomorskie,2033.0
219,040410808000,lipnowski,1016.0,2020,0408,powiat,04,kujawsko-pomorskie,1067.0
220,040410811000,radziejowski,607.0,2020,0411,powiat,04,kujawsko-pomorskie,461.0
221,040410864000,Włocławek,84.0,2020,0464,miasto na prawach powiatu,04,kujawsko-pomorskie,3267.0
222,040416707000,inowrocławski,1225.0,2020,0407,powiat,04,kujawsko-pomorskie,2479.0
223,040416709000,mogileński,675.0,2020,0409,powiat,04,kujawsko-pomorskie,738.0
224,040416710000,nakielski,1120.0,2020,0410,powiat,04,kujawsko-pomorskie,1687.0
225,040416719000,żniński,985.0,2020,0419,powiat,04,kujawsko-pomorskie,989.0
226,040416813000,sępoleński,791.0,2020,0413,powiat,04,kujawsko-pomorskie,649.0
227,040416814000,świecki,1474.0,2020,0414,powiat,04,kujawsko-pomorskie,1381.0
228,040416816000,tucholski,1075.0,2020,0416,powiat,04,kujawsko-pomorskie,595.0
229,042214004000,gdański,794.0,2020,2204,powiat,22,pomorskie,6583.0
230,042214005000,kartuski,1121.0,2020,2205,powiat,22,pomorskie,2039.0
231,042214011000,pucki,581.0,2020,2211,powiat,22,pomorskie,1407.0
232,042214015000,wejherowski,1285.0,2020,2215,powiat,22,pomorskie,3432.0
22,042214101000,bytowski,2192.0,2020,2201,powiat,22,pomorskie,1303.0
233,042214108000,lęborski,708.0,2020,2208,powiat,22,pomorskie,1210.0
23,042214112000,słupski,2304.0,2020,2212,powiat,22,pomorskie,1457.0
235,042214207000,kwidzyński,835.0,2020,2207,powiat,22,pomorskie,1256.0
236,042214209000,malborski,494.0,2020,2209,powiat,22,pomorskie,1247.0
237,042214213000,starogardzki,1345.0,2020,2213,powiat,22,pomorskie,2245.0
238,042214214000,tczewski,697.0,2020,2214,powiat,22,pomorskie,2010.0
239,042214216000,sztumski,731.0,2020,2216,powiat,22,pomorskie,611.0
241,042217203000,człuchowski,1575.0,2020,2203,powiat,22,pomorskie,714.0
243,042217206000,kościerski,1166.0,2020,2206,powiat,22,pomorskie,1261.0
244,042815402000,braniewski,1202.0,2020,2802,powiat,28,warmińsko-mazurskie,962.0
245,042815403000,działdowski,954.0,2020,2803,powiat,28,warmińsko-mazurskie,1116.0
246,042815404000,elbląski,1416.0,2020,2804,powiat,28,warmińsko-mazurskie,927.0
247,042815407000,iławski,1385.0,2020,2807,powiat,28,warmińsko-mazurskie,1767.0
248,042815412000,nowomiejski,694.0,2020,2812,powiat,28,warmińsko-mazurskie,729.0
24,042815415000,ostródzki,1766.0,2020,2815,powiat,28,warmińsko-mazurskie,1732.0
249,042815461000,Elbląg,80.0,2020,2861,miasto na prawach powiatu,28,warmińsko-mazurskie,3124.0
250,042815505000,ełcki,1113.0,2020,2805,powiat,28,warmińsko-mazurskie,1603.0
251,042815506000,giżycki,1120.0,2020,2806,powiat,28,warmińsko-mazurskie,979.0
252,042815513000,olecki,874.0,2020,2813,powiat,28,warmińsko-mazurskie,486.0
253,042815516000,piski,1775.0,2020,2816,powiat,28,warmińsko-mazurskie,1073.0
254,042815601000,bartoszycki,1307.0,2020,2801,powiat,28,warmińsko-mazurskie,904.0
255,042815608000,kętrzyński,1213.0,2020,2808,powiat,28,warmińsko-mazurskie,861.0
256,042815609000,lidzbarski,925.0,2020,2809,powiat,28,warmińsko-mazurskie,628.0
257,042815610000,mrągowski,1065.0,2020,2810,powiat,28,warmińsko-mazurskie,723.0
258,042815611000,nidzicki,961.0,2020,2811,powiat,28,warmińsko-mazurskie,678.0
25,042815614000,olsztyński,2837.0,2020,2814,powiat,28,warmińsko-mazurskie,1911.0
259,042815617000,szczycieński,1933.0,2020,2817,powiat,28,warmińsko-mazurskie,1485.0
261,051011506000,łódzki wschodni,500.0,2020,1006,powiat,10,łódzkie,1192.0
262,051011508000,pabianicki,492.0,2020,1008,powiat,10,łódzkie,2476.0
263,051011520000,zgierski,855.0,2020,1020,powiat,10,łódzkie,2485.0
264,051011521000,brzeziński,359.0,2020,1021,powiat,10,łódzkie,491.0
265,051011661000,Łódź,293.0,2020,1061,miasto na prawach powiatu,10,łódzkie,15557.0
266,051011701000,bełchatowski,968.0,2020,1001,powiat,10,łódzkie,1609.0
267,051011707000,opoczyński,1040.0,2020,1007,powiat,10,łódzkie,1459.0
26,051011710000,piotrkowski,1429.0,2020,1010,powiat,10,łódzkie,962.0
27,051011712000,radomszczański,1443.0,2020,1012,powiat,10,łódzkie,1901.0
268,051011716000,tomaszowski,1025.0,2020,1016,powiat,10,łódzkie,2001.0
269,051011762000,Piotrków Trybunalski,67.0,2020,1062,miasto na prawach powiatu,10,łódzkie,1633.0
270,051011803000,łaski,618.0,2020,1003,powiat,10,łódzkie,646.0
271,051011809000,pajęczański,804.0,2020,1009,powiat,10,łódzkie,427.0
272,051011811000,poddębicki,881.0,2020,1011,powiat,10,łódzkie,508.0
273,051011814000,sieradzki,1491.0,2020,1014,powiat,10,łódzkie,1589.0
274,051011817000,wieluński,926.0,2020,1017,powiat,10,łódzkie,1588.0
275,051011818000,wieruszowski,577.0,2020,1018,powiat,10,łódzkie,561.0
276,051011902000,kutnowski,887.0,2020,1002,powiat,10,łódzkie,1491.0
277,051011904000,łęczycki,773.0,2020,1004,powiat,10,łódzkie,847.0
278,051011905000,łowicki,988.0,2020,1005,powiat,10,łódzkie,1470.0
279,051011913000,rawski,646.0,2020,1013,powiat,10,łódzkie,1049.0
280,051011915000,skierniewicki,753.0,2020,1015,powiat,10,łódzkie,425.0
18,052615204000,kielecki,2246.0,2020,2604,powiat,26,świętokrzyskie,1989.0
281,052615205000,konecki,1139.0,2020,2605,powiat,26,świętokrzyskie,1624.0
282,052615207000,ostrowiecki,617.0,2020,2607,powiat,26,świętokrzyskie,1616.0
283,052615211000,starachowicki,523.0,2020,2611,powiat,26,świętokrzyskie,2104.0
284,052615261000,Kielce,110.0,2020,2661,miasto na prawach powiatu,26,świętokrzyskie,4979.0
285,052615301000,buski,968.0,2020,2601,powiat,26,świętokrzyskie,870.0
286,052615302000,jędrzejowski,1257.0,2020,2602,powiat,26,świętokrzyskie,3613.0
287,052615303000,kazimierski,422.0,2020,2603,powiat,26,świętokrzyskie,391.0
346,071412865000,Warszawa,517.0,2020,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,45754.0
288,052615306000,opatowski,911.0,2020,2606,powiat,26,świętokrzyskie,956.0
289,052615308000,pińczowski,613.0,2020,2608,powiat,26,świętokrzyskie,702.0
290,052615309000,sandomierski,676.0,2020,2609,powiat,26,świętokrzyskie,870.0
347,071412908000,legionowski,391.0,2020,1408,powiat,14,mazowieckie,2418.0
291,052615312000,staszowski,925.0,2020,2612,powiat,26,świętokrzyskie,1041.0
11,071427164000,Siedlce,32.0,2020,1464,miasto na prawach powiatu,14,mazowieckie,1821.0
292,052615313000,włoszczowski,908.0,2020,2613,powiat,26,świętokrzyskie,535.0
32,060610901000,bialski,2754.0,2020,0601,powiat,06,lubelskie,1707.0
12,071427306000,grójecki,1268.0,2020,1406,powiat,14,mazowieckie,1948.0
293,060610913000,parczewski,952.0,2020,0613,powiat,06,lubelskie,620.0
294,060610915000,radzyński,965.0,2020,0615,powiat,06,lubelskie,602.0
295,060610919000,włodawski,1256.0,2020,0619,powiat,06,lubelskie,495.0
28,060611002000,biłgorajski,1681.0,2020,0602,powiat,06,lubelskie,888.0
29,060611003000,chełmski,1886.0,2020,0603,powiat,06,lubelskie,1069.0
30,060611004000,hrubieszowski,1268.0,2020,0604,powiat,06,lubelskie,840.0
296,060611006000,krasnostawski,1032.0,2020,0606,powiat,06,lubelskie,831.0
297,060611018000,tomaszowski,1489.0,2020,0618,powiat,06,lubelskie,1009.0
300,060611108000,lubartowski,1289.0,2020,0608,powiat,06,lubelskie,1071.0
301,060611110000,łęczyński,637.0,2020,0610,powiat,06,lubelskie,765.0
302,060611117000,świdnicki,468.0,2020,0617,powiat,06,lubelskie,779.0
303,060611163000,Lublin,148.0,2020,0663,miasto na prawach powiatu,06,lubelskie,6342.0
304,060611205000,janowski,876.0,2020,0605,powiat,06,lubelskie,368.0
305,060611207000,kraśnicki,1005.0,2020,0607,powiat,06,lubelskie,1234.0
306,060611211000,łukowski,1394.0,2020,0611,powiat,06,lubelskie,1260.0
307,060611212000,opolski,810.0,2020,0612,powiat,06,lubelskie,792.0
308,060611214000,puławski,934.0,2020,0614,powiat,06,lubelskie,1751.0
309,060611216000,rycki,615.0,2020,0616,powiat,06,lubelskie,850.0
310,061813301000,bieszczadzki,1139.0,2020,1801,powiat,18,podkarpackie,308.0
311,061813302000,brzozowski,539.0,2020,1802,powiat,18,podkarpackie,512.0
312,061813305000,jasielski,831.0,2020,1805,powiat,18,podkarpackie,1110.0
313,061813307000,krośnieński,993.0,2020,1807,powiat,18,podkarpackie,1135.0
314,061813317000,sanocki,1156.0,2020,1817,powiat,18,podkarpackie,1650.0
315,061813321000,leski,835.0,2020,1821,powiat,18,podkarpackie,310.0
317,061813404000,jarosławski,1029.0,2020,1804,powiat,18,podkarpackie,1105.0
318,061813409000,lubaczowski,1308.0,2020,1809,powiat,18,podkarpackie,477.0
319,061813413000,przemyski,1211.0,2020,1813,powiat,18,podkarpackie,532.0
320,061813414000,przeworski,698.0,2020,1814,powiat,18,podkarpackie,783.0
322,061813506000,kolbuszowski,774.0,2020,1806,powiat,18,podkarpackie,605.0
323,061813510000,łańcucki,452.0,2020,1810,powiat,18,podkarpackie,678.0
